1061769729143177216	0	0	2018-11-11	@lindachapin54 yes...I'm aware.Reagan ignited the venture capital markets and funded the cell phone, Microsoft, and Amazon
1061769675590250497	0	0	2018-11-11	@LegoTheodore microsoft 3d paint makes surprisingly good shitty photoshops
1061769340939354118	0	0	2018-11-11	@KaptinKnapton Pages is good, but I couldn’t deal with Numbers and bought Microsoft just for Excel. I’ve never used Keynote (or PowerPoint since university!)
1061769282588237824	1	0	2018-11-11	ellie discovered speaker woman on microsoft word
1061769255815970816	2	1	2018-11-11	@conflykt @IGN DO YOU KNOW WHAT MICROSOFT DID TO BANJO KAZOOIE!!!
1061769009446748161	0	0	2018-11-11	@XboxP3 @majornelson @aarongreenberg @mattbooty The studio acquisitions were great, but it worries me that Microsoft still doesn’t understand what people want to see... GAMES! Exclusive Xbox games and new IPs
1061769001083199489	1	0	2018-11-11	If only I could get back all the time I’ve spent on Microsoft Word and Powerpoint 😩
1061768973719527424	0	0	2018-11-11	@XRays_Insider Anybody who wanted the game acquired by Microsoft would just buy the PC or console to play it. That's the beauty of not being a fanboy.
1061768830605770753	0	0	2018-11-11	@deadbeatcraka @lasaga_ but could only be on Microsoft shit
1061768794207674371	1	0	2018-11-11	@MARKJPWNS @Microsoft @XboxCanada Second picture is better. That’s a cool steelbook. I have one too 👍#MCCCollectorsEdition
1061408158688702467	6	0	2018-11-10	@Polygon Tbh with that Xbox has a chance to get great exclusives again. They should buy Bethesda too, Bethesda already seems to like Microsoft and Fallout and Skyrim are the perfect fit for Xbox.
1061408158352994304	1	0	2018-11-10	So... Will Microsoft have Obsidian make a new hardcore FABLE REBOOT?
1061408142951636993	0	0	2018-11-10	Microsoft compra InXile Entertainment e Obsidian Entertainment para games do Xbox
1061408122609299456	0	0	2018-11-10	Funny thing is, those same PS fanboys were tweeting Obsidian a few weeks a go threatining them if they did sign with Microsoft. Make your minds up!
1061408101532745728	0	0	2018-11-10	Oh, looks like I’ll finally play Hellblade: Senua’s Sacrifice. Because Microsoft owns the developer and it’ll be on game pass.
1061408092615778308	2	1	2018-11-10	@TheAshenLuca Enjoying both ponies and neutrals crying and whining over Obsidian entertainment and InXile joining Microsoft... trying to damage control anything as possible
